TeamMember	ProductionType	JwlTotalPieces	ProductionScreen
Cell01	Central Repair	3	Jeweler
Cell01	Customer	2	Jeweler
Cell01	D&D (Refurb)	86	Jeweler
Cell01	EComm Ring Sizing	26	Jeweler
Cell02	D&D (Refurb)	102	Jeweler
Cell02	EComm Ring Sizing	34	Jeweler
Cell04	D&D (Refurb)	78	Jeweler
Cell04	EComm Ring Sizing	12	Jeweler
Cell05	Customer	49	Jeweler
Cell05	D&D (Refurb)	58	Jeweler
Cell08	D&D (Refurb)	117	Jeweler
Cell08	EComm Ring Sizing	6	Jeweler
Cell09	D&D (Refurb)	93	Jeweler
Cell09	EComm Ring Sizing	3	Jeweler
Cell10	D&D (Refurb)	21	Jeweler
Cell11	EComm Ring Sizing	50	Jeweler
Cell13	Central Repair	27	Jeweler
Cell13	EComm Ring Sizing	10	Jeweler
Cell14	EComm Ring Sizing	9	Jeweler
